Ticker,Company,CEO,Year,SEO Pay
GOOGL,Alphabet Inc.,Sundar Pichai,2019,"$280,621,552"
INTC,Intel Corporation,Robert Swan,2019,"$66,935,100"
AMD,"Advanced Micro Devices, Inc.",Lisa Su,2019,"$58,534,288"
MSG,Madison Square Garden Sports Corp.,James Dolan,2019,"$54,116,491"
HWM,Howmet Aerospace Inc.,John Plant,2019,"$51,712,578"
DIS,The Walt Disney Company,Robert Iger,2019,"$47,517,762"
PINS,"Pinterest, Inc.",Benjamin Silbermann,2019,"$46,222,113"
DISCA,"Discovery, Inc.",David Zaslav,2019,"$45,843,912"
UTHR,United Therapeutics Corporation,Martine Rothblatt,2019,"$45,635,037"
FWONA,Liberty Media Corp.,Gregory Maffei,2019,"$44,045,070"
KHC,The Kraft Heinz Company,Miguel Patricio,2019,"$43,297,480"
MSFT,Microsoft Corporation,Satya Nadella,2019,"$42,910,215"
VMW,"VMware, Inc.",Patrick Gelsinger,2020,"$42,549,725"
UBER,"Uber Technologies, Inc.",Dara Khosrowshahi,2019,"$42,428,233"
FOXA,Fox Corporation,Lachlan Murdoch,2019,"$42,111,103"
NOW,"ServiceNow, Inc.",William McDermott,2019,"$41,682,335"
ADBE,"Adobe, Inc.",Shantanu Narayen,2019,"$39,145,631"
NFLX,"Netflix, Inc.",Reed Hastings,2019,"$38,577,129"
CVS,CVS Health Corporation,Larry Merlo,2019,"$36,451,749"
CMCSA,Comcast Corporation,Brian Roberts,2019,"$36,370,183"
CAT,Caterpillar Inc.,Donald Umpleby III,2019,"$34,519,129"
WFC,Wells Fargo & Company,Charles Scharf,2019,"$34,286,574"
CVX,Chevron Corporation,Michael Wirth,2019,"$33,070,662"
GBL,"GAMCO Investors, Inc.",Mario Gabelli,2019,"$32,236,004"
T,AT&T Inc.,Randall Stephenson,2019,"$32,032,925"
PSX,Phillips 66,Greg Garland,2019,"$31,900,878"
MS,Morgan Stanley,James Gorman,2019,"$31,642,395"
JPM,JPMorgan Chase & Co.,James Dimon,2019,"$31,612,616"
BURL,"Burlington Stores, Inc.",Michael O'Sullivan,2020,"$31,056,597"
LMT,Lockheed Martin Corporation,Marillyn Hewson,2019,"$30,913,982"
PLD,"Prologis, Inc.",Hamid Moghadam,2019,"$30,383,438"
COP,ConocoPhillips,Ryan Lance,2019,"$30,363,744"
CDAY,"Ceridian HCM Holding, Inc.",David Ossip,2019,"$30,180,957"
ATVI,"Activision Blizzard, Inc.",Robert Kotick,2019,"$30,122,896"
GILD,"Gilead Sciences, Inc.",Daniel O'Day,2019,"$29,107,854"
